iter	Passed	Remaining
591	52777	80949
592	52832	80807
593	52861	80626
594	52896	80456
595	52935	80291
596	52972	80123
597	52997	79939
598	53023	79757
599	53053	79579
600	53079	79398
601	53119	79238
602	53143	79053
603	53177	78885
604	53227	78741
605	53258	78569
606	53287	78394
607	53326	78235
608	53366	78078
609	53400	77912
610	53490	77828
611	53523	77661
612	53556	77495
613	53592	77333
614	53630	77176
615	53662	77009
616	53695	76845
617	53735	76690
618	53768	76527
619	53799	76361
620	53834	76200
621	53866	76037
622	53902	75878
623	53934	75715
624	53968	75555
625	54004	75399
626	54034	75234
627	54064	75070
628	54098	74911
629	54133	74755
630	54179	74615
631	54220	74467
632	54251	74305
633	54278	74141
634	54311	73983
635	54344	73826
636	54377	73670
637	54411	73515
638	54444	73359
639	54480	73207
640	54517	73058
641	54558	72914
642	54594	72764
643	54630	72615
644	54663	72460
645	54695	72306
646	54761	72197
647	54825	72084
648	54876	71956
649	54932	71834
650	55004	71734
651	55106	71671
652	55184	71579
653	55252	71473
654	55322	71369
655	55390	71265
656	55436	71130
657	55490	71008
658	55551	70893
659	55590	70751
660	55654	70641
661	55719	70532
662	55778	70417
663	55820	70280
664	55870	70153
665	55917	70022
666	55964	69893
667	56024	69778
668	56067	69644
669	56121	69523
670	56193	69424
671	56276	69340
672	56320	69208
673	56450	69180
674	56529	69091
675	56594	68985
676	56649	68866
677	56690	68730
678	56722	68584
679	56759	68444
680	56794	68303
681	56828	68160
682	56860	68016
683	56894	67874
684	56931	67735
685	56964	67593
686	57006	67461
687	57046	67328
688	57085	67193
689	57121	67055
690	57153	66913
691	57189	66776
692	57222	66635
693	57257	66497
694	57288	66355
695	57317	66211
696	57345	66066
697	57375	65924
698	57402	65778
699	57435	65640
700	57465	65499
701	57495	65358
702	57523	65214
703	57555	65076
704	57587	64939
705	57620	64803
706	57652	64665
707	57684	64527
708	57710	64385
709	57745	64252
710	57786	64126
711	57817	63989
712	57847	63851
713	57892	63729
714	57928	63599
715	57955	63460
716	57983	63320
717	58017	63188
718	58048	63054
719	58082	62923
720	58114	62789
721	58143	62653
722	58174	62519
723	58206	62387
724	58241	62258
725	58271	62124
726	58309	61999
727	58340	61866
728	58382	61745
729	58413	61614
730	58449	61487
731	58477	61353
732	58505	61219
733	58531	61082
734	58560	60951
735	58587	60816
736	58617	60685
737	58645	60552
738	58674	60420
739	58700	60287
740	58725	60151
741	58754	60020
742	58785	59893
743	58829	59778
744	58863	59653
745	58895	59527
746	58930	59403
747	58983	59298
748	59033	59191
749	59090	59090
750	59156	58999
751	59250	58935
752	59317	58844
753	59380	58750
754	59439	58651
755	59475	58531
756	59512	58412
757	59581	58324
758	59628	58214
759	59670	58100
760	59707	57981
761	59733	57851
762	59759	57723
763	59783	57592
764	59812	57466
765	59845	57345
766	59884	57229
767	59928	57119
768	59995	57030
769	60044	56925
770	60088	56815
771	60129	56702
772	60172	56591
773	60227	56492
774	60263	56375
775	60293	56253
776	60327	56135
777	60398	56050
778	60444	55944
779	60479	55826
780	60557	55750
781	60604	55644
782	60634	55523
783	60668	55406
784	60723	55309
785	60774	55207
786	60810	55092
787	60861	54991
788	60906	54885
789	60953	54781
790	61000	54677
791	61045	54571
792	61087	54462
793	61127	54352
794	61175	54249
795	61226	54150
796	61302	54072
797	61361	53979
798	61396	53865
799	61429	53750
800	61458	53631
801	61504	53529
802	61559	53433
803	61593	53319
804	61634	53212
805	61691	53118
806	61746	53023
807	61792	52921
808	61817	52800
809	61849	52686
810	61877	52569
811	61908	52454
812	61931	52332
813	61958	52215
814	61993	52105
815	62043	52006
816	62090	51906
817	62122	51793
818	62169	51694
819	62199	51580
820	62225	51463
821	62251	51345
822	62281	51232
823	62309	51117
824	62330	50997
825	62355	50881
826	62387	50769
827	62414	50655
828	62440	50540
829	62469	50426
830	62494	50311
831	62527	50202
832	62553	50088
833	62577	49971
834	62602	49856
835	62624	49739
836	62650	49626
837	62676	49512
838	62702	49399
839	62729	49287
840	62753	49173
841	62775	49057
842	62801	48945
843	62829	48834
844	62854	48721
845	62880	48609
846	62902	48495
847	62928	48383
848	62973	48286
849	62995	48173
850	63070	48099
851	63135	48018
852	63219	47952
853	63277	47865
854	63346	47787
855	63410	47706
856	63454	47609
857	63483	47501
858	63519	47399
859	63601	47331
860	63629	47223
861	63653	47112
862	63678	47002
863	63710	46897
864	63734	46787
865	63757	46677
866	63784	46569
867	63810	46460
868	63833	46351
869	63875	46254
870	63907	46151
871	63939	46048
872	63965	45940
873	63986	45829
874	64013	45724
875	64039	45617
876	64070	45513
877	64092	45404
878	64123	45302
879	64149	45196
880	64180	45093
881	64207	44988
882	64230	44881
883	64251	44772
884	64287	44674
885	64310	44567
886	64330	44458
887	64372	44364
888	64400	44262
889	64427	44158
890	64451	44052
891	64482	43951
892	64511	43850
893	64535	43745
894	64560	43641
895	64587	43538
896	64618	43439
897	64648	43339
898	64677	43238
899	64702	43135
900	64728	43032
901	64758	42932
902	64782	42829
903	64807	42726
904	64831	42623
905	64857	42522
906	64885	42422
907	64925	42330
908	64959	42234
909	64992	42138
910	65021	42039
911	65048	41938
912	65078	41841
913	65103	41740
914	65126	41638
915	65153	41538
916	65183	41441
917	65222	41349
918	65255	41255
919	65297	41166
920	65324	41066
921	65360	40974
922	65395	40881
923	65426	40785
924	65453	40687
925	65490	40595
926	65516	40497
927	65542	40398
928	65589	40313
929	65614	40215
930	65635	40114
931	65658	40015
932	65687	39919
933	65711	39821
934	65739	39724
935	65764	39627
936	65784	39526
937	65813	39431
938	65832	39331
939	65852	39231
940	65879	39135
